accession,form,filing_date,report_date,primary_document,url,size,is_xbrl
0001018724-26-000026,10-Q,2026-07-31,2026-06-30,amzn-20260630.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000026/amzn-20260630.htm,12101846,True
0001018724-26-000014,10-Q,2026-04-30,2026-03-31,amzn-20260331.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000014/amzn-20260331.htm,8488684,True
0001018724-26-000004,10-K,2026-02-06,2025-12-31,amzn-20251231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,12700850,True
0001018724-25-000123,10-Q,2025-10-31,2025-09-30,amzn-20250930.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/amzn-20250930.htm,9520177,True
0001018724-25-000086,10-Q,2025-08-01,2025-06-30,amzn-20250630.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/amzn-20250630.htm,8390388,True
0001018724-25-000036,10-Q,2025-05-02,2025-03-31,amzn-20250331.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000036/amzn-20250331.htm,7722609,True
0001018724-25-000004,10-K,2025-02-07,2024-12-31,amzn-20241231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,12029913,True
0001018724-24-000161,10-Q,2024-11-01,2024-09-30,amzn-20240930.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000161/amzn-20240930.htm,9185722,True
0001018724-24-000130,10-Q,2024-08-02,2024-06-30,amzn-20240630.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000130/amzn-20240630.htm,8114974,True
0001018724-24-000083,10-Q,2024-05-01,2024-03-31,amzn-20240331.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000083/amzn-20240331.htm,7428154,True
0001018724-24-000008,10-K,2024-02-02,2023-12-31,amzn-20231231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,12110804,True
0001018724-23-000018,10-Q,2023-10-27,2023-09-30,amzn-20230930.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000018/amzn-20230930.htm,7894342,True
0001018724-23-000012,10-Q,2023-08-04,2023-06-30,amzn-20230630.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000012/amzn-20230630.htm,8211341,True
0001018724-23-000008,10-Q,2023-04-28,2023-03-31,amzn-20230331.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000008/amzn-20230331.htm,7861668,True
0001018724-23-000004,10-K,2023-02-03,2022-12-31,amzn-20221231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/amzn-20221231.htm,12809287,True
0001018724-22-000023,10-Q,2022-10-28,2022-09-30,amzn-20220930.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000023/amzn-20220930.htm,8745852,True
0001018724-22-000019,10-Q,2022-07-29,2022-06-30,amzn-20220630.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000019/amzn-20220630.htm,8956127,True
0001018724-22-000013,10-Q,2022-04-29,2022-03-31,amzn-20220331.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000013/amzn-20220331.htm,8746120,True
0001018724-22-000005,10-K,2022-02-04,2021-12-31,amzn-20211231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/amzn-20211231.htm,13441589,True
