concept,tag,taxonomy,unit,start,end,val,fy,fp,form,filed,accn,frame
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2016-01-01,2016-12-31,7804000000.0,2018,FY,10-K,2019-02-01,0001018724-19-000004,CY2016
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2016-10-01,2017-09-30,10750000000.0,2018,Q3,10-Q,2018-10-26,0001018724-18-000159,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2017-01-01,2017-09-30,8336000000.0,2018,Q3,10-Q,2018-10-26,0001018724-18-000159,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2017-07-01,2017-09-30,3074000000.0,2018,Q3,10-Q,2018-10-26,0001018724-18-000159,CY2017Q3
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2017-01-01,2017-12-31,11955000000.0,2018,FY,10-K,2019-02-01,0001018724-19-000004,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2017-01-01,2017-12-31,11955000000.0,2019,FY,10-K,2020-01-31,0001018724-20-000004,CY2017
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2017-04-01,2018-03-31,12905000000.0,2019,Q1,10-Q,2019-04-26,0001018724-19-000043,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2018-01-01,2018-03-31,3098000000.0,2019,Q1,10-Q,2019-04-26,0001018724-19-000043,CY2018Q1
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2017-07-01,2018-06-30,13035000000.0,2019,Q2,10-Q,2019-07-26,0001018724-19-000071,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2018-01-01,2018-06-30,6341000000.0,2019,Q2,10-Q,2019-07-26,0001018724-19-000071,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2018-04-01,2018-06-30,3243000000.0,2019,Q2,10-Q,2019-07-26,0001018724-19-000071,CY2018Q2
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2017-10-01,2018-09-30,13312000000.0,2018,Q3,10-Q,2018-10-26,0001018724-18-000159,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2018-01-01,2018-09-30,9693000000.0,2018,Q3,10-Q,2018-10-26,0001018724-18-000159,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2018-07-01,2018-09-30,3352000000.0,2018,Q3,10-Q,2018-10-26,0001018724-18-000159,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2017-10-01,2018-09-30,13312000000.0,2019,Q3,10-Q,2019-10-25,0001018724-19-000089,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2018-01-01,2018-09-30,9693000000.0,2019,Q3,10-Q,2019-10-25,0001018724-19-000089,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2018-07-01,2018-09-30,3352000000.0,2019,Q3,10-Q,2019-10-25,0001018724-19-000089,CY2018Q3
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2018-01-01,2018-12-31,13427000000.0,2018,FY,10-K,2019-02-01,0001018724-19-000004,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2018-01-01,2018-12-31,13427000000.0,2019,FY,10-K,2020-01-31,0001018724-20-000004,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2018-01-01,2018-12-31,13427000000.0,2020,FY,10-K,2021-02-03,0001018724-21-000004,CY2018
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2018-04-01,2019-03-31,13619000000.0,2019,Q1,10-Q,2019-04-26,0001018724-19-000043,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2019-01-01,2019-03-31,3290000000.0,2019,Q1,10-Q,2019-04-26,0001018724-19-000043,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2018-04-01,2019-03-31,13619000000.0,2020,Q1,10-Q,2020-05-01,0001018724-20-000010,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2019-01-01,2019-03-31,3290000000.0,2020,Q1,10-Q,2020-05-01,0001018724-20-000010,CY2019Q1
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2018-07-01,2019-06-30,13938000000.0,2019,Q2,10-Q,2019-07-26,0001018724-19-000071,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2019-01-01,2019-06-30,6852000000.0,2019,Q2,10-Q,2019-07-26,0001018724-19-000071,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2019-04-01,2019-06-30,3562000000.0,2019,Q2,10-Q,2019-07-26,0001018724-19-000071,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2018-07-01,2019-06-30,13938000000.0,2020,Q2,10-Q,2020-07-31,0001018724-20-000021,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2019-01-01,2019-06-30,6852000000.0,2020,Q2,10-Q,2020-07-31,0001018724-20-000021,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2019-04-01,2019-06-30,3562000000.0,2020,Q2,10-Q,2020-07-31,0001018724-20-000021,CY2019Q2
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2018-10-01,2019-09-30,15282000000.0,2019,Q3,10-Q,2019-10-25,0001018724-19-000089,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2019-01-01,2019-09-30,11549000000.0,2019,Q3,10-Q,2019-10-25,0001018724-19-000089,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2019-07-01,2019-09-30,4697000000.0,2019,Q3,10-Q,2019-10-25,0001018724-19-000089,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2018-10-01,2019-09-30,15282000000.0,2020,Q3,10-Q,2020-10-30,0001018724-20-000030,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2019-01-01,2019-09-30,11549000000.0,2020,Q3,10-Q,2020-10-30,0001018724-20-000030,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2019-07-01,2019-09-30,4697000000.0,2020,Q3,10-Q,2020-10-30,0001018724-20-000030,CY2019Q3
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2019-01-01,2019-12-31,16861000000.0,2019,FY,10-K,2020-01-31,0001018724-20-000004,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2019-01-01,2019-12-31,16861000000.0,2020,FY,10-K,2021-02-03,0001018724-21-000004,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2019-01-01,2019-12-31,16861000000.0,2021,FY,10-K,2022-02-04,0001018724-22-000005,CY2019
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2019-04-01,2020-03-31,20365000000.0,2020,Q1,10-Q,2020-05-01,0001018724-20-000010,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2020-01-01,2020-03-31,6795000000.0,2020,Q1,10-Q,2020-05-01,0001018724-20-000010,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2019-04-01,2020-03-31,20365000000.0,2021,Q1,10-Q,2021-04-30,0001018724-21-000010,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2020-01-01,2020-03-31,6795000000.0,2021,Q1,10-Q,2021-04-30,0001018724-21-000010,CY2020Q1
