accession,form,filing_date,report_date,primary_document,url,size,is_xbrl
0001769628-26-000366,10-Q,2026-08-12,2026-06-30,crwv-20260630.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000366/crwv-20260630.htm,12588161,True
0001769628-26-000222,10-Q,2026-05-08,2026-03-31,crwv-20260331.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000222/crwv-20260331.htm,10409193,True
0001769628-26-000104,10-K,2026-03-02,2025-12-31,crwv-20251231.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,18802950,True
0001769628-25-000062,10-Q,2025-11-13,2025-09-30,crwv-20250930.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962825000062/crwv-20250930.htm,15862434,True
0001769628-25-000041,10-Q,2025-08-13,2025-06-30,crwv-20250630.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962825000041/crwv-20250630.htm,12552339,True
0001769628-25-000014,10-Q,2025-05-15,2025-03-31,crwv-20250331.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962825000014/crwv-20250331.htm,9680408,True
0001193125-25-067651,424B4,2025-03-31,,d899798d424b4.htm,https://www.sec.gov/Archives/edgar/data/1769628/000119312525067651/d899798d424b4.htm,8544932,False
0001193125-25-058309,S-1/A,2025-03-20,,d899798ds1a.htm,https://www.sec.gov/Archives/edgar/data/1769628/000119312525058309/d899798ds1a.htm,10881013,False
0001193125-25-052207,S-1/A,2025-03-12,,d899798ds1a.htm,https://www.sec.gov/Archives/edgar/data/1769628/000119312525052207/d899798ds1a.htm,8809941,False
0001193125-25-044231,S-1,2025-03-03,,d899798ds1.htm,https://www.sec.gov/Archives/edgar/data/1769628/000119312525044231/d899798ds1.htm,17900177,False
