concept,tag,taxonomy,unit,start,end,val,fy,fp,form,filed,accn,frame
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2023-01-01,2023-12-31,2943000000.0,2025,FY,10-K,2026-03-02,0001769628-26-000104,CY2023
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2024-01-01,2024-03-31,1741935000.0,2025,Q1,10-Q,2025-05-15,0001769628-25-000014,CY2024Q1
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2024-01-01,2024-06-30,3989096000.0,2025,Q2,10-Q,2025-08-13,0001769628-25-000041,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2024-01-01,2024-09-30,5204251000.0,2025,Q3,10-Q,2025-11-13,0001769628-25-000062,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2024-01-01,2024-12-31,8702000000.0,2025,FY,10-K,2026-03-02,0001769628-26-000104,CY2024
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2025-01-01,2025-03-31,1407359000.0,2025,Q1,10-Q,2025-05-15,0001769628-25-000014,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2025-01-01,2025-03-31,1407000000.0,2026,Q1,10-Q,2026-05-08,0001769628-26-000222,CY2025Q1
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2025-01-01,2025-06-30,3860351000.0,2025,Q2,10-Q,2025-08-13,0001769628-25-000041,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2025-01-01,2025-06-30,3860000000.0,2026,Q2,10-Q,2026-08-12,0001769628-26-000366,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2025-01-01,2025-09-30,6249239000.0,2025,Q3,10-Q,2025-11-13,0001769628-25-000062,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2025-01-01,2025-12-31,10309000000.0,2025,FY,10-K,2026-03-02,0001769628-26-000104,CY2025
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2026-01-01,2026-03-31,7695000000.0,2026,Q1,10-Q,2026-05-08,0001769628-26-000222,CY2026Q1
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2026-01-01,2026-06-30,14117000000.0,2026,Q2,10-Q,2026-08-12,0001769628-26-000366,
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2023-12-31,217000000.0,2025,FY,10-K,2026-03-02,0001769628-26-000104,CY2023Q4I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2024-03-31,1306872000.0,2025,Q1,10-Q,2025-05-15,0001769628-25-000014,CY2024Q1I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2024-06-30,1028044000.0,2025,Q2,10-Q,2025-08-13,0001769628-25-000041,CY2024Q2I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2024-09-30,1355216000.0,2025,Q3,10-Q,2025-11-13,0001769628-25-000062,CY2024Q3I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2024-12-31,1361083000.0,2025,Q1,10-Q,2025-05-15,0001769628-25-000014,
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2024-12-31,1361083000.0,2025,Q2,10-Q,2025-08-13,0001769628-25-000041,
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2024-12-31,1361083000.0,2025,Q3,10-Q,2025-11-13,0001769628-25-000062,
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2024-12-31,1361000000.0,2025,FY,10-K,2026-03-02,0001769628-26-000104,CY2024Q4I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2025-03-31,1276456000.0,2025,Q1,10-Q,2025-05-15,0001769628-25-000014,
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2025-03-31,1276000000.0,2026,Q1,10-Q,2026-05-08,0001769628-26-000222,CY2025Q1I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2025-06-30,1152883000.0,2025,Q2,10-Q,2025-08-13,0001769628-25-000041,
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2025-06-30,1153000000.0,2026,Q2,10-Q,2026-08-12,0001769628-26-000366,CY2025Q2I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2025-09-30,1894399000.0,2025,Q3,10-Q,2025-11-13,0001769628-25-000062,CY2025Q3I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2025-12-31,3127000000.0,2025,FY,10-K,2026-03-02,0001769628-26-000104,
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2025-12-31,3127000000.0,2026,Q1,10-Q,2026-05-08,0001769628-26-000222,
