accession,form,filing_date,report_date,primary_document,url,size,is_xbrl
0001652044-26-000071,10-Q,2026-07-23,2026-06-30,goog-20260630.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,14878187,True
0001652044-26-000048,10-Q,2026-04-30,2026-03-31,goog-20260331.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,12460815,True
0001652044-26-000018,10-K,2026-02-05,2025-12-31,goog-20251231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,15653193,True
0001652044-25-000091,10-Q,2025-10-30,2025-09-30,goog-20250930.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/goog-20250930.htm,12793055,True
0001652044-25-000062,10-Q,2025-07-24,2025-06-30,goog-20250630.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/goog-20250630.htm,12784340,True
0001652044-25-000043,10-Q,2025-04-25,2025-03-31,goog-20250331.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/goog-20250331.htm,10668012,True
0001652044-25-000014,10-K,2025-02-05,2024-12-31,goog-20241231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,14773739,True
0001652044-24-000118,10-Q,2024-10-30,2024-09-30,goog-20240930.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000118/goog-20240930.htm,11294901,True
0001652044-24-000079,10-Q,2024-07-24,2024-06-30,goog-20240630.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000079/goog-20240630.htm,11217414,True
0001652044-24-000053,10-Q,2024-04-26,2024-03-31,goog-20240331.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000053/goog-20240331.htm,9730858,True
0001652044-24-000022,10-K,2024-01-31,2023-12-31,goog-20231231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,13927595,True
0001652044-23-000094,10-Q,2023-10-25,2023-09-30,goog-20230930.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000094/goog-20230930.htm,11654886,True
0001652044-23-000070,10-Q,2023-07-26,2023-06-30,goog-20230630.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000070/goog-20230630.htm,11897524,True
