concept,tag,taxonomy,unit,start,end,val,fy,fp,form,filed,accn,frame
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2013-01-01,2013-12-31,7358000000.0,2015,FY,10-K,2016-02-11,0001652044-16-000012,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2013-01-01,2013-12-31,7358000000.0,2015,FY,8-K,2016-05-03,0001652044-16-000022,CY2013
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2014-01-01,2014-09-30,7408000000.0,2015,Q3,10-Q,2015-10-29,0001652044-15-000005,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2014-01-01,2014-12-31,10959000000.0,2015,FY,10-K,2016-02-11,0001652044-16-000012,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2014-01-01,2014-12-31,10959000000.0,2015,FY,8-K,2016-05-03,0001652044-16-000022,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2014-01-01,2014-12-31,11014000000.0,2016,FY,10-K,2017-02-03,0001652044-17-000008,CY2014
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2015-01-01,2015-03-31,2927000000.0,2016,Q1,10-Q,2016-05-03,0001652044-16-000021,CY2015Q1
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2015-01-01,2015-06-30,5442000000.0,2016,Q2,10-Q,2016-08-04,0001652044-16-000032,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2015-04-01,2015-06-30,2515000000.0,2016,Q2,10-Q,2016-08-04,0001652044-16-000032,CY2015Q2
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2015-01-01,2015-09-30,7815000000.0,2015,Q3,10-Q,2015-10-29,0001652044-15-000005,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2015-01-01,2015-09-30,7848000000.0,2016,Q3,10-Q,2016-11-03,0001652044-16-000038,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2015-07-01,2015-09-30,2383000000.0,2016,Q3,10-Q,2016-11-03,0001652044-16-000038,CY2015Q3
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2015-01-01,2015-12-31,9915000000.0,2015,FY,10-K,2016-02-11,0001652044-16-000012,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2015-01-01,2015-12-31,9915000000.0,2015,FY,8-K,2016-05-03,0001652044-16-000022,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2015-01-01,2015-12-31,9950000000.0,2016,FY,10-K,2017-02-03,0001652044-17-000008,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2015-01-01,2015-12-31,9950000000.0,2017,FY,10-K,2018-02-06,0001652044-18-000007,CY2015
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2016-01-01,2016-03-31,2428000000.0,2016,Q1,10-Q,2016-05-03,0001652044-16-000021,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2016-01-01,2016-03-31,2444000000.0,2017,Q1,10-Q,2017-05-02,0001652044-17-000014,CY2016Q1
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2016-01-01,2016-06-30,4551000000.0,2016,Q2,10-Q,2016-08-04,0001652044-16-000032,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2016-04-01,2016-06-30,2123000000.0,2016,Q2,10-Q,2016-08-04,0001652044-16-000032,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2016-01-01,2016-06-30,4580000000.0,2017,Q2,10-Q,2017-07-25,0001652044-17-000026,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2016-04-01,2016-06-30,2136000000.0,2017,Q2,10-Q,2017-07-25,0001652044-17-000026,CY2016Q2
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2016-01-01,2016-09-30,7134000000.0,2016,Q3,10-Q,2016-11-03,0001652044-16-000038,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2016-07-01,2016-09-30,2554000000.0,2016,Q3,10-Q,2016-11-03,0001652044-16-000038,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2016-01-01,2016-09-30,7134000000.0,2017,Q3,10-Q,2017-10-27,0001652044-17-000042,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2016-07-01,2016-09-30,2554000000.0,2017,Q3,10-Q,2017-10-27,0001652044-17-000042,CY2016Q3
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2016-01-01,2016-12-31,10212000000.0,2016,FY,10-K,2017-02-03,0001652044-17-000008,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2016-01-01,2016-12-31,10212000000.0,2017,FY,10-K,2018-02-06,0001652044-18-000007,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2016-01-01,2016-12-31,10212000000.0,2018,FY,10-K,2019-02-05,0001652044-19-000004,CY2016
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2017-01-01,2017-03-31,2508000000.0,2017,Q1,10-Q,2017-05-02,0001652044-17-000014,
