accession,form,filing_date,report_date,primary_document,url,size,is_xbrl
0001628280-26-050705,10-Q,2026-07-30,2026-06-30,meta-20260630.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828026050705/meta-20260630.htm,10416846,True
0001628280-26-028526,10-Q,2026-04-30,2026-03-31,meta-20260331.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828026028526/meta-20260331.htm,9615242,True
0001628280-26-003942,10-K,2026-01-29,2025-12-31,meta-20251231.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,14509410,True
0001628280-25-047240,10-Q,2025-10-30,2025-09-30,meta-20250930.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828025047240/meta-20250930.htm,10314667,True
0001628280-25-036791,10-Q,2025-07-31,2025-06-30,meta-20250630.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828025036791/meta-20250630.htm,10163183,True
0001326801-25-000054,10-Q,2025-05-01,2025-03-31,meta-20250331.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000054/meta-20250331.htm,9093598,True
0001326801-25-000017,10-K,2025-01-30,2024-12-31,meta-20241231.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm,14236240,True
0001326801-24-000081,10-Q,2024-10-31,2024-09-30,meta-20240930.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000081/meta-20240930.htm,10832824,True
0001326801-24-000069,10-Q,2024-08-01,2024-06-30,meta-20240630.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000069/meta-20240630.htm,10516258,True
0001326801-24-000049,10-Q,2024-04-25,2024-03-31,meta-20240331.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000049/meta-20240331.htm,9842978,True
0001326801-24-000012,10-K,2024-02-02,2023-12-31,meta-20231231.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/meta-20231231.htm,14717765,True
0001326801-23-000103,10-Q,2023-10-26,2023-09-30,meta-20230930.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000103/meta-20230930.htm,12413493,True
0001326801-23-000093,10-Q,2023-07-27,2023-06-30,meta-20230630.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000093/meta-20230630.htm,12281343,True
0001326801-23-000067,10-Q,2023-04-27,2023-03-31,meta-20230331.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000067/meta-20230331.htm,12375306,True
