concept,tag,taxonomy,unit,start,end,val,fy,fp,form,filed,accn,frame
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2010-01-01,2010-12-31,293000000.0,2012,FY,10-K,2013-02-01,0001326801-13-000003,CY2010
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2011-01-01,2011-06-30,285000000.0,2012,Q2,10-Q,2012-07-31,0001193125-12-325997,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2011-01-01,2011-09-30,421000000.0,2012,Q3,10-Q,2012-10-24,0001326801-12-000006,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2011-01-01,2011-12-31,606000000.0,2012,FY,10-K,2013-02-01,0001326801-13-000003,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2011-01-01,2011-12-31,606000000.0,2013,FY,10-K,2014-01-31,0001326801-14-000007,CY2011
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2012-01-01,2012-03-31,453000000.0,2013,Q1,10-Q,2013-05-02,0001326801-13-000011,CY2012Q1
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2012-01-01,2012-06-30,866000000.0,2012,Q2,10-Q,2012-07-31,0001193125-12-325997,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2012-01-01,2012-06-30,866000000.0,2013,Q2,10-Q,2013-07-25,0001326801-13-000019,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2012-01-01,2012-09-30,1037000000.0,2012,Q3,10-Q,2012-10-24,0001326801-12-000006,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2012-01-01,2012-09-30,1037000000.0,2013,Q3,10-Q,2013-11-01,0001326801-13-000031,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2012-01-01,2012-12-31,1235000000.0,2012,FY,10-K,2013-02-01,0001326801-13-000003,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2012-01-01,2012-12-31,1235000000.0,2013,FY,10-K,2014-01-31,0001326801-14-000007,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2012-01-01,2012-12-31,1235000000.0,2014,FY,10-K,2015-01-29,0001326801-15-000006,CY2012
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2013-01-01,2013-03-31,327000000.0,2013,Q1,10-Q,2013-05-02,0001326801-13-000011,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2013-01-01,2013-03-31,327000000.0,2014,Q1,10-Q,2014-04-25,0001326801-14-000023,CY2013Q1
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2013-01-01,2013-06-30,595000000.0,2013,Q2,10-Q,2013-07-25,0001326801-13-000019,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2013-01-01,2013-06-30,595000000.0,2014,Q2,10-Q,2014-07-24,0001326801-14-000032,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2013-01-01,2013-09-30,879000000.0,2013,Q3,10-Q,2013-11-01,0001326801-13-000031,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2013-01-01,2013-09-30,879000000.0,2014,Q3,10-Q,2014-10-30,0001326801-14-000068,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2013-01-01,2013-12-31,1362000000.0,2013,FY,10-K,2014-01-31,0001326801-14-000007,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2013-01-01,2013-12-31,1362000000.0,2014,FY,10-K,2015-01-29,0001326801-15-000006,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2013-01-01,2013-12-31,1362000000.0,2015,FY,10-K,2016-01-28,0001326801-16-000043,CY2013
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2014-01-01,2014-03-31,363000000.0,2014,Q1,10-Q,2014-04-25,0001326801-14-000023,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2014-01-01,2014-03-31,363000000.0,2015,Q1,10-Q,2015-04-23,0001326801-15-000015,CY2014Q1
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2014-01-01,2014-06-30,832000000.0,2014,Q2,10-Q,2014-07-24,0001326801-14-000032,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2014-01-01,2014-06-30,832000000.0,2015,Q2,10-Q,2015-07-31,0001326801-15-000028,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2014-01-01,2014-09-30,1314000000.0,2014,Q3,10-Q,2014-10-30,0001326801-14-000068,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2014-01-01,2014-09-30,1314000000.0,2015,Q3,10-Q,2015-11-05,0001326801-15-000032,
