accession,form,filing_date,report_date,primary_document,url,size,is_xbrl
0001193125-26-323660,10-K,2026-07-29,2026-06-30,msft-20260630.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,36328553,True
0001193125-26-191507,10-Q,2026-04-29,2026-03-31,msft-20260331.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312526191507/msft-20260331.htm,31304294,True
0001193125-26-027207,10-Q,2026-01-28,2025-12-31,msft-20251231.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312526027207/msft-20251231.htm,30063042,True
0001193125-25-256321,10-Q,2025-10-29,2025-09-30,msft-20250930.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/msft-20250930.htm,24565853,True
0000950170-25-100235,10-K,2025-07-30,2025-06-30,msft-20250630.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,34889671,True
0000950170-25-061046,10-Q,2025-04-30,2025-03-31,msft-20250331.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017025061046/msft-20250331.htm,29845298,True
0000950170-25-010491,10-Q,2025-01-29,2024-12-31,msft-20241231.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017025010491/msft-20241231.htm,27242804,True
0000950170-24-118967,10-Q,2024-10-30,2024-09-30,msft-20240930.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024118967/msft-20240930.htm,20482578,True
0000950170-24-087843,10-K,2024-07-30,2024-06-30,msft-20240630.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,30375960,True
0000950170-24-048288,10-Q,2024-04-25,2024-03-31,msft-20240331.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024048288/msft-20240331.htm,24292762,True
0000950170-24-008814,10-Q,2024-01-30,2023-12-31,msft-20231231.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024008814/msft-20231231.htm,24016884,True
0000950170-23-054855,10-Q,2023-10-24,2023-09-30,msft-20230930.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023054855/msft-20230930.htm,22646771,True
0000950170-23-035122,10-K,2023-07-27,2023-06-30,msft-20230630.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,40966463,True
