concept,tag,taxonomy,unit,start,end,val,fy,fp,form,filed,accn,frame
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2007-07-01,2008-06-30,3182000000.0,2010,FY,10-K,2010-07-30,0001193125-10-171791,CY2008
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2008-07-01,2008-09-30,778000000.0,2010,Q1,10-Q,2009-10-23,0001193125-09-212454,CY2008Q3
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2008-07-01,2008-12-31,1620000000.0,2010,Q2,10-Q,2010-01-28,0001193125-10-015598,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2008-10-01,2008-12-31,842000000.0,2010,Q2,10-Q,2010-01-28,0001193125-10-015598,CY2008Q4
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2008-07-01,2009-03-31,2252000000.0,2010,Q3,10-Q,2010-04-22,0001193125-10-090116,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2009-01-01,2009-03-31,632000000.0,2010,Q3,10-Q,2010-04-22,0001193125-10-090116,CY2009Q1
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2008-07-01,2009-06-30,3119000000.0,2010,FY,10-K,2010-07-30,0001193125-10-171791,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2008-07-01,2009-06-30,3119000000.0,2011,FY,10-K,2011-07-28,0001193125-11-200680,CY2009
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2009-07-01,2009-09-30,435000000.0,2010,Q1,10-Q,2009-10-23,0001193125-09-212454,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2009-07-01,2009-09-30,435000000.0,2011,Q1,10-Q,2010-10-28,0001193125-10-239825,CY2009Q3
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2009-07-01,2009-12-31,811000000.0,2010,Q2,10-Q,2010-01-28,0001193125-10-015598,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2009-10-01,2009-12-31,376000000.0,2010,Q2,10-Q,2010-01-28,0001193125-10-015598,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2009-07-01,2009-12-31,811000000.0,2011,Q2,10-Q,2011-01-27,0001193125-11-015947,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2009-10-01,2009-12-31,376000000.0,2011,Q2,10-Q,2011-01-27,0001193125-11-015947,CY2009Q4
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2009-07-01,2010-03-31,1219000000.0,2010,Q3,10-Q,2010-04-22,0001193125-10-090116,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2010-01-01,2010-03-31,408000000.0,2010,Q3,10-Q,2010-04-22,0001193125-10-090116,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2009-07-01,2010-03-31,1219000000.0,2011,Q3,10-Q,2011-04-28,0001193125-11-115186,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2010-01-01,2010-03-31,408000000.0,2011,Q3,10-Q,2011-04-28,0001193125-11-115186,CY2010Q1
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2009-07-01,2010-06-30,1977000000.0,2010,FY,10-K,2010-07-30,0001193125-10-171791,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2009-07-01,2010-06-30,1977000000.0,2011,FY,10-K,2011-07-28,0001193125-11-200680,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2009-07-01,2010-06-30,1977000000.0,2012,FY,10-K,2012-07-26,0001193125-12-316848,CY2010
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2010-07-01,2010-09-30,564000000.0,2011,Q1,10-Q,2010-10-28,0001193125-10-239825,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2010-07-01,2010-09-30,564000000.0,2012,Q1,10-Q,2011-10-20,0001193125-11-276022,CY2010Q3
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2010-07-01,2010-12-31,1055000000.0,2011,Q2,10-Q,2011-01-27,0001193125-11-015947,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2010-10-01,2010-12-31,491000000.0,2011,Q2,10-Q,2011-01-27,0001193125-11-015947,
