concept,tag,taxonomy,unit,start,end,val,fy,fp,form,filed,accn,frame
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2011-01-01,2011-12-31,172900000.0,2011,FY,20-F,2012-03-02,0001047469-12-002052,CY2011
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2012-01-01,2012-12-31,131200000.0,2012,FY,20-F,2013-04-09,0001047469-13-004131,CY2012
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2013-01-01,2013-12-31,150800000.0,2013,FY,20-F,2014-04-04,0001047469-14-003438,CY2013
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2014-01-01,2014-12-31,172000000.0,2014,FY,20-F,2015-04-30,0001047469-15-004230,CY2014
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2015-01-01,2015-12-31,179000000.0,2015,FY,20-F,2016-03-22,0001047469-16-011404,CY2015
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2016-01-01,2016-12-31,158700000.0,2016,FY,20-F,2017-03-22,0001513845-17-000004,CY2016
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2017-01-01,2017-12-31,215100000.0,2017,FY,20-F,2018-03-27,0001513845-18-000013,CY2017
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2018-01-01,2018-12-31,407700000.0,2018,FY,20-F,2019-04-19,0001513845-19-000009,CY2018
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2019-01-01,2019-12-31,260500000.0,2019,FY,20-F/A,2020-04-02,0001558370-20-003563,CY2019
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2020-01-01,2020-12-31,332300000.0,2020,FY,20-F,2021-04-01,0001513845-21-000014,CY2020
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2021-01-01,2021-12-31,600600000.0,2021,FY,20-F,2022-04-20,0001558370-22-005654,CY2021
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2022-01-01,2022-12-31,718600000.0,2022,FY,20-F,2023-04-20,0001558370-23-006319,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2022-01-01,2022-12-31,14600000.0,2024,FY,20-F,2025-04-30,0001558370-25-005991,CY2022
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2023-01-01,2023-12-31,1010600000.0,2023,FY,20-F,2024-04-26,0001558370-24-005891,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2023-01-01,2023-12-31,83400000.0,2024,FY,20-F,2025-04-30,0001558370-25-005991,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2023-01-01,2023-12-31,82900000.0,2025,FY,20-F,2026-04-30,0001104659-26-052948,CY2023
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2024-01-01,2024-12-31,807700000.0,2024,FY,20-F,2025-04-30,0001558370-25-005991,
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2024-01-01,2024-12-31,807500000.0,2025,FY,20-F,2026-04-30,0001104659-26-052948,CY2024
capex,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap,USD,2025-01-01,2025-12-31,4066000000.0,2025,FY,20-F,2026-04-30,0001104659-26-052948,CY2025
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2010-12-31,104700000.0,2011,FY,20-F,2012-03-02,0001047469-12-002052,CY2010Q4I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2011-12-31,196400000.0,2011,FY,20-F,2012-03-02,0001047469-12-002052,
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2011-12-31,195200000.0,2012,FY,20-F,2013-04-09,0001047469-13-004131,CY2011Q4I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2012-12-31,244500000.0,2012,FY,20-F,2013-04-09,0001047469-13-004131,
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2012-12-31,226900000.0,2013,FY,20-F,2014-04-04,0001047469-14-003438,CY2012Q4I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2013-12-31,1020300000.0,2013,FY,20-F,2014-04-04,0001047469-14-003438,
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2013-12-31,593600000.0,2014,FY,20-F,2015-04-30,0001047469-15-004230,CY2013Q4I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2014-12-31,313600000.0,2014,FY,20-F,2015-04-30,0001047469-15-004230,
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2014-12-31,242100000.0,2015,FY,20-F,2016-03-22,0001047469-16-011404,CY2014Q4I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2015-12-31,332600000.0,2015,FY,20-F,2016-03-22,0001047469-16-011404,
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2015-12-31,399600000.0,2016,FY,20-F,2017-03-22,0001513845-17-000004,CY2015Q4I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2016-12-31,465400000.0,2016,FY,20-F,2017-03-22,0001513845-17-000004,
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2016-12-31,490100000.0,2017,FY,20-F,2018-03-27,0001513845-18-000013,CY2016Q4I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2017-12-31,740700000.0,2017,FY,20-F,2018-03-27,0001513845-18-000013,
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2017-12-31,614100000.0,2018,FY,20-F,2019-04-19,0001513845-19-000009,CY2017Q4I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2018-12-31,990300000.0,2018,FY,20-F,2019-04-19,0001513845-19-000009,
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2018-12-31,872500000.0,2019,FY,20-F/A,2020-04-02,0001558370-20-003563,CY2018Q4I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2019-12-31,715500000.0,2019,FY,20-F/A,2020-04-02,0001558370-20-003563,
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2019-12-31,763600000.0,2020,FY,20-F,2021-04-01,0001513845-21-000014,CY2019Q4I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2020-12-31,1792200000.0,2020,FY,20-F,2021-04-01,0001513845-21-000014,
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2020-12-31,1782100000.0,2021,FY,20-F,2022-04-20,0001558370-22-005654,CY2020Q4I
cash,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,,2021-12-31,1067100000.0,2021,FY,20-F,2022-04-20,0001558370-22-005654,
