accession,form,filing_date,report_date,primary_document,url,size,is_xbrl
0001045810-26-000075,10-Q,2026-08-26,2026-07-26,nvda-20260726.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm,9044060,True
0001045810-26-000052,10-Q,2026-05-20,2026-04-26,nvda-20260426.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000052/nvda-20260426.htm,7515560,True
0001045810-26-000021,10-K,2026-02-25,2026-01-25,nvda-20260125.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,11461765,True
0001045810-25-000230,10-Q,2025-11-19,2025-10-26,nvda-20251026.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000230/nvda-20251026.htm,8026373,True
0001045810-25-000209,10-Q,2025-08-27,2025-07-27,nvda-20250727.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000209/nvda-20250727.htm,8122261,True
0001045810-25-000116,10-Q,2025-05-28,2025-04-27,nvda-20250427.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000116/nvda-20250427.htm,7485599,True
0001045810-25-000023,10-K,2025-02-26,2025-01-26,nvda-20250126.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,12325809,True
0001045810-24-000316,10-Q,2024-11-20,2024-10-27,nvda-20241027.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000316/nvda-20241027.htm,8552577,True
0001045810-24-000264,10-Q,2024-08-28,2024-07-28,nvda-20240728.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000264/nvda-20240728.htm,8873332,True
0001045810-24-000124,10-Q,2024-05-29,2024-04-28,nvda-20240428.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000124/nvda-20240428.htm,8507284,True
0001045810-24-000029,10-K,2024-02-21,2024-01-28,nvda-20240128.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/nvda-20240128.htm,11813809,True
0001045810-23-000227,10-Q,2023-11-21,2023-10-29,nvda-20231029.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000227/nvda-20231029.htm,8185864,True
0001045810-23-000175,10-Q,2023-08-28,2023-07-30,nvda-20230730.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000175/nvda-20230730.htm,8095266,True
0001045810-23-000093,10-Q,2023-05-26,2023-04-30,nvda-20230430.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000093/nvda-20230430.htm,7673985,True
0001045810-23-000017,10-K,2023-02-24,2023-01-29,nvda-20230129.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm,13525180,True
0001045810-22-000166,10-Q,2022-11-18,2022-10-30,nvda-20221030.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000166/nvda-20221030.htm,8373909,True
0001045810-22-000147,10-Q,2022-08-31,2022-07-31,nvda-20220731.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000147/nvda-20220731.htm,8333234,True
0001045810-22-000079,10-Q,2022-05-27,2022-05-01,nvda-20220501.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000079/nvda-20220501.htm,7277651,True
0001045810-22-000036,10-K,2022-03-18,2022-01-30,nvda-20220130.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm,12667394,True
0001045810-21-000163,10-Q,2021-11-22,2021-10-31,nvda-20211031.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000163/nvda-20211031.htm,8206583,True
0001045810-21-000131,10-Q,2021-08-20,2021-08-01,nvda-20210801.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000131/nvda-20210801.htm,8506278,True
0001045810-21-000064,10-Q,2021-05-26,2021-05-02,nvda-20210502.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000064/nvda-20210502.htm,7571457,True
0001045810-21-000010,10-K,2021-02-26,2021-01-31,nvda-20210131.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/nvda-20210131.htm,11996719,True
0001045810-20-000189,10-Q,2020-11-18,2020-10-25,nvda-20201025.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000189/nvda-20201025.htm,8299933,True
0001045810-20-000147,10-Q,2020-08-19,2020-07-26,nvda-20200726.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000147/nvda-20200726.htm,9341324,True
0001045810-20-000065,10-Q,2020-05-21,2020-04-26,nvda-20200426.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000065/nvda-20200426.htm,7620817,True
0001045810-20-000010,10-K,2020-02-20,2020-01-26,nvda-2020x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/nvda-2020x10k.htm,12031473,True
0001045810-19-000170,10-Q,2019-11-14,2019-10-27,nvda2020q310q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000170/nvda2020q310q.htm,7798273,True
0001045810-19-000144,10-Q,2019-08-15,2019-07-28,nvda2020q210q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000144/nvda2020q210q.htm,7787636,True
0001045810-19-000079,10-Q,2019-05-16,2019-04-28,nvda2020q110q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000079/nvda2020q110q.htm,6278349,True
0001045810-19-000023,10-K,2019-02-21,2019-01-27,nvda-2019x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000023/nvda-2019x10k.htm,11434705,True
0001045810-18-000150,10-Q,2018-11-15,2018-10-28,nvda2019q310q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000150/nvda2019q310q.htm,6836307,True
0001045810-18-000114,10-Q,2018-08-16,2018-07-29,nvda2019q210q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000114/nvda2019q210q.htm,6704579,True
0001045810-18-000080,10-Q,2018-05-22,2018-04-29,nvda2019q110q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000080/nvda2019q110q.htm,5833839,True
0001045810-18-000010,10-K,2018-02-28,2018-01-28,nvda-2018x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000010/nvda-2018x10k.htm,11590519,True
0001045810-17-000172,10-Q,2017-11-21,2017-10-29,nvda2018q310q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581017000172/nvda2018q310q.htm,7031264,True
0001045810-17-000123,10-Q,2017-08-23,2017-07-30,nvda2018q210q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581017000123/nvda2018q210q.htm,7113336,True
0001045810-17-000075,10-Q,2017-05-23,2017-04-30,nvda2018q110q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581017000075/nvda2018q110q.htm,6313259,True
0001045810-17-000027,10-K,2017-03-01,2017-01-29,nvda-2017x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581017000027/nvda-2017x10k.htm,13957578,True
0001045810-16-000353,10-Q,2016-11-22,2016-10-30,nvda2017q310q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581016000353/nvda2017q310q.htm,8076804,True
0001045810-16-000300,10-Q,2016-08-23,2016-07-31,nvda2017q210q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581016000300/nvda2017q210q.htm,7040467,True
0001045810-16-000275,10-Q,2016-05-25,2016-05-01,nvda2017q110q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581016000275/nvda2017q110q.htm,6154285,True
0001045810-16-000205,10-K,2016-03-17,2016-01-31,nvda-2016x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581016000205/nvda-2016x10k.htm,12102285,True
0001045810-15-000173,10-Q,2015-11-18,2015-10-25,nvda2016q310q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581015000173/nvda2016q310q.htm,6894797,True
0001045810-15-000143,10-Q,2015-08-19,2015-07-26,nvda2016q210q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581015000143/nvda2016q210q.htm,8244326,True
0001045810-15-000097,10-Q,2015-05-20,2015-04-26,nvda2016q110q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581015000097/nvda2016q110q.htm,7744733,True
0001045810-15-000036,10-K,2015-03-12,2015-01-25,nvda-2015x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581015000036/nvda-2015x10k.htm,16175203,True
0001045810-14-000188,10-Q,2014-11-19,2014-10-26,nvda2015q310q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581014000188/nvda2015q310q.htm,8944076,True
0001045810-14-000158,10-Q,2014-08-20,2014-07-27,nvda2015q210q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581014000158/nvda2015q210q.htm,9693492,True
0001045810-14-000085,10-Q,2014-05-21,2014-04-27,nvda2015q110q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581014000085/nvda2015q110q.htm,8170078,True
0001045810-14-000030,10-K,2014-03-13,2014-01-26,nvda-2014x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581014000030/nvda-2014x10k.htm,16284176,True
0001045810-13-000109,10-Q,2013-11-19,2013-10-27,nvda2014q310q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581013000109/nvda2014q310q.htm,9078617,True
0001045810-13-000075,10-Q,2013-08-21,2013-07-28,nvda2014q210q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581013000075/nvda2014q210q.htm,11425576,True
0001045810-13-000054,10-Q,2013-05-22,2013-04-28,nvda2014q110q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581013000054/nvda2014q110q.htm,7140298,True
0001045810-13-000008,10-K,2013-03-12,2013-01-27,nvda-2013x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581013000008/nvda-2013x10k.htm,17740813,True
0001045810-12-000060,10-Q,2012-11-19,2012-10-28,nvda2013q310q.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581012000060/nvda2013q310q.htm,8490105,True
