concept,tag,taxonomy,unit,start,end,val,fy,fp,form,filed,accn,frame
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2019-01-28,2019-10-27,344000000.0,2021,Q3,10-Q,2020-11-18,0001045810-20-000189,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2020-01-27,2020-04-26,155000000.0,2022,Q1,10-Q,2021-05-26,0001045810-21-000064,CY2020Q1
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2020-01-27,2020-07-26,372000000.0,2022,Q2,10-Q,2021-08-20,0001045810-21-000131,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2020-01-27,2020-10-25,845000000.0,2021,Q3,10-Q,2020-11-18,0001045810-20-000189,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2020-01-27,2020-10-25,845000000.0,2022,Q3,10-Q,2021-11-22,0001045810-21-000163,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2021-02-01,2021-05-02,298000000.0,2022,Q1,10-Q,2021-05-26,0001045810-21-000064,CY2021Q1
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2021-02-01,2021-08-01,481000000.0,2022,Q2,10-Q,2021-08-20,0001045810-21-000131,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2021-02-01,2021-10-31,703000000.0,2022,Q3,10-Q,2021-11-22,0001045810-21-000163,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2021-02-01,2022-01-30,976000000.0,2024,FY,10-K,2024-02-21,0001045810-24-000029,CY2021
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2022-01-31,2022-10-30,1324000000.0,2024,Q3,10-Q,2023-11-21,0001045810-23-000227,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2022-01-31,2023-01-29,1833000000.0,2024,FY,10-K,2024-02-21,0001045810-24-000029,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2022-01-31,2023-01-29,1833000000.0,2025,FY,10-K,2025-02-26,0001045810-25-000023,CY2022
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2023-01-30,2023-04-30,248000000.0,2025,Q1,10-Q,2024-05-29,0001045810-24-000124,CY2023Q1
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2023-01-30,2023-07-30,537000000.0,2025,Q2,10-Q,2024-08-28,0001045810-24-000264,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2023-01-30,2023-10-29,815000000.0,2024,Q3,10-Q,2023-11-21,0001045810-23-000227,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2023-01-30,2023-10-29,815000000.0,2025,Q3,10-Q,2024-11-20,0001045810-24-000316,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2023-01-30,2024-01-28,1069000000.0,2024,FY,10-K,2024-02-21,0001045810-24-000029,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2023-01-30,2024-01-28,1069000000.0,2025,FY,10-K,2025-02-26,0001045810-25-000023,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2023-01-30,2024-01-28,1069000000.0,2026,FY,10-K,2026-02-25,0001045810-26-000021,CY2023
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2024-01-29,2024-04-28,369000000.0,2025,Q1,10-Q,2024-05-29,0001045810-24-000124,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2024-01-29,2024-04-28,369000000.0,2026,Q1,10-Q,2025-05-28,0001045810-25-000116,CY2024Q1
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2024-01-29,2024-07-28,1346000000.0,2025,Q2,10-Q,2024-08-28,0001045810-24-000264,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2024-01-29,2024-07-28,1346000000.0,2026,Q2,10-Q,2025-08-27,0001045810-25-000209,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2024-01-29,2024-10-27,2159000000.0,2025,Q3,10-Q,2024-11-20,0001045810-24-000316,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2024-01-29,2024-10-27,2159000000.0,2026,Q3,10-Q,2025-11-19,0001045810-25-000230,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2024-01-29,2025-01-26,3236000000.0,2025,FY,10-K,2025-02-26,0001045810-25-000023,
capex,PaymentsToAcquireProductiveAssets,us-gaap,USD,2024-01-29,2025-01-26,3236000000.0,2026,FY,10-K,2026-02-25,0001045810-26-000021,CY2024
